Dataset is copied to /tmp
freeze encoder
Start Training, use checkpointcheckpoints/tightrope_encoder_ep_14
[1,    10] loss: 6.702
[1,    20] loss: 6.689
[1,    30] loss: 6.687
[1,    40] loss: 6.685
[1,    50] loss: 6.679
[1,    60] loss: 6.662
[1,    70] loss: 6.643
[1,    80] loss: 6.642
[1,    90] loss: 6.623
[1,   100] loss: 6.601
[1] Validation loss: 6.577, Accuracy: 0.24%
[2,    10] loss: 6.543
[2,    20] loss: 6.567
[2,    30] loss: 6.566
[2,    40] loss: 6.569
[2,    50] loss: 6.556
[2,    60] loss: 6.560
[2,    70] loss: 6.543
[2,    80] loss: 6.538
[2,    90] loss: 6.533
[2,   100] loss: 6.517
[2] Validation loss: 6.493, Accuracy: 0.54%
[3,    10] loss: 6.440
[3,    20] loss: 6.436
[3,    30] loss: 6.392
[3,    40] loss: 6.441
[3,    50] loss: 6.424
[3,    60] loss: 6.396
[3,    70] loss: 6.391
[3,    80] loss: 6.415
[3,    90] loss: 6.381
[3,   100] loss: 6.378
[3] Validation loss: 6.359, Accuracy: 1.00%
[4,    10] loss: 6.249
[4,    20] loss: 6.276
[4,    30] loss: 6.243
[4,    40] loss: 6.264
[4,    50] loss: 6.245
[4,    60] loss: 6.248
[4,    70] loss: 6.258
[4,    80] loss: 6.218
[4,    90] loss: 6.252
[4,   100] loss: 6.242
[4] Validation loss: 6.286, Accuracy: 1.18%
[5,    10] loss: 6.070
[5,    20] loss: 6.123
[5,    30] loss: 6.117
[5,    40] loss: 6.112
[5,    50] loss: 6.137
[5,    60] loss: 6.158
[5,    70] loss: 6.085
[5,    80] loss: 6.143
[5,    90] loss: 6.125
[5,   100] loss: 6.157
[5] Validation loss: 6.252, Accuracy: 1.31%
[6,    10] loss: 6.022
[6,    20] loss: 5.959
[6,    30] loss: 6.005
[6,    40] loss: 6.003
[6,    50] loss: 6.012
[6,    60] loss: 6.047
[6,    70] loss: 6.038
[6,    80] loss: 6.047
[6,    90] loss: 6.043
[6,   100] loss: 6.048
[6] Validation loss: 6.249, Accuracy: 1.51%
[7,    10] loss: 5.869
[7,    20] loss: 5.852
[7,    30] loss: 5.925
[7,    40] loss: 5.880
[7,    50] loss: 5.892
[7,    60] loss: 5.947
[7,    70] loss: 5.943
[7,    80] loss: 5.982
[7,    90] loss: 5.957
[7,   100] loss: 5.971
[7] Validation loss: 6.256, Accuracy: 1.59%
[8,    10] loss: 5.777
[8,    20] loss: 5.764
[8,    30] loss: 5.782
[8,    40] loss: 5.836
[8,    50] loss: 5.848
[8,    60] loss: 5.825
[8,    70] loss: 5.866
[8,    80] loss: 5.868
[8,    90] loss: 5.861
[8,   100] loss: 5.874
[8] Validation loss: 6.267, Accuracy: 1.65%
[9,    10] loss: 5.661
[9,    20] loss: 5.646
[9,    30] loss: 5.699
[9,    40] loss: 5.735
[9,    50] loss: 5.746
[9,    60] loss: 5.732
[9,    70] loss: 5.751
[9,    80] loss: 5.812
[9,    90] loss: 5.798
[9,   100] loss: 5.801
[9] Validation loss: 6.329, Accuracy: 1.71%
[10,    10] loss: 5.516
[10,    20] loss: 5.645
[10,    30] loss: 5.596
[10,    40] loss: 5.638
[10,    50] loss: 5.665
[10,    60] loss: 5.624
[10,    70] loss: 5.676
[10,    80] loss: 5.650
[10,    90] loss: 5.678
[10,   100] loss: 5.720
[10] Validation loss: 6.342, Accuracy: 1.75%
[11,    10] loss: 5.438
[11,    20] loss: 5.463
[11,    30] loss: 5.501
[11,    40] loss: 5.494
[11,    50] loss: 5.528
[11,    60] loss: 5.521
[11,    70] loss: 5.594
[11,    80] loss: 5.594
[11,    90] loss: 5.556
[11,   100] loss: 5.606
[11] Validation loss: 6.418, Accuracy: 1.86%
[12,    10] loss: 5.333
[12,    20] loss: 5.298
[12,    30] loss: 5.369
[12,    40] loss: 5.411
[12,    50] loss: 5.442
[12,    60] loss: 5.434
[12,    70] loss: 5.477
[12,    80] loss: 5.446
[12,    90] loss: 5.524
[12,   100] loss: 5.506
[12] Validation loss: 6.487, Accuracy: 1.89%
[13,    10] loss: 5.148
[13,    20] loss: 5.218
[13,    30] loss: 5.244
[13,    40] loss: 5.318
[13,    50] loss: 5.318
[13,    60] loss: 5.327
[13,    70] loss: 5.337
[13,    80] loss: 5.343
[13,    90] loss: 5.339
[13,   100] loss: 5.367
[13] Validation loss: 6.589, Accuracy: 1.77%
[14,    10] loss: 5.079
[14,    20] loss: 5.085
[14,    30] loss: 5.013
[14,    40] loss: 5.133
[14,    50] loss: 5.199
[14,    60] loss: 5.187
[14,    70] loss: 5.192
[14,    80] loss: 5.242
[14,    90] loss: 5.290
[14,   100] loss: 5.274
