Dataset is copied to /tmp
Start Training, use checkpointcheckpoints/tightrope_encoder_ep_29
[1,    10] loss: 6.696
[1,    20] loss: 6.688
[1,    30] loss: 6.686
[1,    40] loss: 6.687
[1,    50] loss: 6.684
[1,    60] loss: 6.673
[1,    70] loss: 6.667
[1,    80] loss: 6.628
[1,    90] loss: 6.628
[1,   100] loss: 6.621
[1] Validation loss: 6.591, Accuracy: 0.25%
[2,    10] loss: 6.550
[2,    20] loss: 6.553
[2,    30] loss: 6.562
[2,    40] loss: 6.549
[2,    50] loss: 6.549
[2,    60] loss: 6.534
[2,    70] loss: 6.505
[2,    80] loss: 6.525
[2,    90] loss: 6.497
[2,   100] loss: 6.479
[2] Validation loss: 6.464, Accuracy: 0.57%
[3,    10] loss: 6.390
[3,    20] loss: 6.396
[3,    30] loss: 6.415
[3,    40] loss: 6.430
[3,    50] loss: 6.444
[3,    60] loss: 6.433
[3,    70] loss: 6.430
[3,    80] loss: 6.414
[3,    90] loss: 6.394
[3,   100] loss: 6.373
[3] Validation loss: 6.406, Accuracy: 0.77%
[4,    10] loss: 6.286
[4,    20] loss: 6.296
[4,    30] loss: 6.319
[4,    40] loss: 6.285
[4,    50] loss: 6.298
[4,    60] loss: 6.298
[4,    70] loss: 6.312
[4,    80] loss: 6.283
[4,    90] loss: 6.309
[4,   100] loss: 6.308
[4] Validation loss: 6.357, Accuracy: 0.86%
[5,    10] loss: 6.187
[5,    20] loss: 6.173
[5,    30] loss: 6.195
[5,    40] loss: 6.192
[5,    50] loss: 6.195
[5,    60] loss: 6.215
[5,    70] loss: 6.211
[5,    80] loss: 6.236
[5,    90] loss: 6.220
[5,   100] loss: 6.206
[5] Validation loss: 6.298, Accuracy: 1.18%
[6,    10] loss: 6.079
[6,    20] loss: 6.127
[6,    30] loss: 6.102
[6,    40] loss: 6.126
[6,    50] loss: 6.071
[6,    60] loss: 6.170
[6,    70] loss: 6.148
[6,    80] loss: 6.105
[6,    90] loss: 6.067
[6,   100] loss: 6.097
[6] Validation loss: 6.250, Accuracy: 1.35%
[7,    10] loss: 5.958
[7,    20] loss: 5.961
[7,    30] loss: 5.998
[7,    40] loss: 6.008
[7,    50] loss: 5.998
[7,    60] loss: 5.996
[7,    70] loss: 6.011
[7,    80] loss: 5.992
[7,    90] loss: 6.016
[7,   100] loss: 6.022
[7] Validation loss: 6.227, Accuracy: 1.53%
[8,    10] loss: 5.821
[8,    20] loss: 5.834
[8,    30] loss: 5.876
[8,    40] loss: 5.859
[8,    50] loss: 5.863
[8,    60] loss: 5.924
[8,    70] loss: 5.864
[8,    80] loss: 5.851
[8,    90] loss: 5.891
[8,   100] loss: 5.892
[8] Validation loss: 6.207, Accuracy: 1.86%
[9,    10] loss: 5.643
[9,    20] loss: 5.693
[9,    30] loss: 5.661
[9,    40] loss: 5.778
[9,    50] loss: 5.735
[9,    60] loss: 5.774
[9,    70] loss: 5.757
[9,    80] loss: 5.737
[9,    90] loss: 5.767
[9,   100] loss: 5.764
[9] Validation loss: 6.239, Accuracy: 1.94%
[10,    10] loss: 5.490
[10,    20] loss: 5.526
[10,    30] loss: 5.532
[10,    40] loss: 5.577
[10,    50] loss: 5.608
[10,    60] loss: 5.599
[10,    70] loss: 5.629
[10,    80] loss: 5.592
[10,    90] loss: 5.644
[10,   100] loss: 5.615
[10] Validation loss: 6.272, Accuracy: 2.16%
[11,    10] loss: 5.307
[11,    20] loss: 5.283
[11,    30] loss: 5.409
[11,    40] loss: 5.388
[11,    50] loss: 5.402
[11,    60] loss: 5.430
[11,    70] loss: 5.503
[11,    80] loss: 5.530
[11,    90] loss: 5.447
[11,   100] loss: 5.491
[11] Validation loss: 6.335, Accuracy: 2.25%
[12,    10] loss: 5.157
[12,    20] loss: 5.216
[12,    30] loss: 5.204
[12,    40] loss: 5.275
[12,    50] loss: 5.257
[12,    60] loss: 5.307
[12,    70] loss: 5.303
[12,    80] loss: 5.306
[12,    90] loss: 5.320
[12,   100] loss: 5.276
[12] Validation loss: 6.447, Accuracy: 2.50%
[13,    10] loss: 4.916
[13,    20] loss: 4.947
[13,    30] loss: 5.041
[13,    40] loss: 5.054
[13,    50] loss: 5.074
[13,    60] loss: 5.100
[13,    70] loss: 5.133
[13,    80] loss: 5.127
[13,    90] loss: 5.158
[13,   100] loss: 5.135
[13] Validation loss: 6.518, Accuracy: 2.42%
[14,    10] loss: 4.648
[14,    20] loss: 4.777
[14,    30] loss: 4.857
[14,    40] loss: 4.889
[14,    50] loss: 4.840
[14,    60] loss: 4.923
[14,    70] loss: 4.971
[14,    80] loss: 4.948
[14,    90] loss: 4.991
[14,   100] loss: 4.997
[14] Validation loss: 6.687, Accuracy: 2.36%
[15,    10] loss: 4.508
[15,    20] loss: 4.539
[15,    30] loss: 4.625
[15,    40] loss: 4.572
[15,    50] loss: 4.646
[15,    60] loss: 4.737
[15,    70] loss: 4.723
[15,    80] loss: 4.723
[15,    90] loss: 4.690
[15,   100] loss: 4.811
[15] Validation loss: 6.961, Accuracy: 2.19%
[16,    10] loss: 4.264
[16,    20] loss: 4.362
[16,    30] loss: 4.339
[16,    40] loss: 4.416
[16,    50] loss: 4.403
[16,    60] loss: 4.505
[16,    70] loss: 4.524
[16,    80] loss: 4.553
[16,    90] loss: 4.559
[16,   100] loss: 4.643
[16] Validation loss: 7.113, Accuracy: 2.21%
[17,    10] loss: 4.041
[17,    20] loss: 4.116
[17,    30] loss: 4.086
[17,    40] loss: 4.126
[17,    50] loss: 4.234
[17,    60] loss: 4.242
[17,    70] loss: 4.267
[17,    80] loss: 4.273
[17,    90] loss: 4.303
[17,   100] loss: 4.366
[17] Validation loss: 7.572, Accuracy: 2.29%
[18,    10] loss: 3.818
[18,    20] loss: 3.827
[18,    30] loss: 3.861
[18,    40] loss: 3.882
[18,    50] loss: 4.046
[18,    60] loss: 4.029
[18,    70] loss: 4.105
[18,    80] loss: 4.040
[18,    90] loss: 4.066
[18,   100] loss: 4.099
[18] Validation loss: 7.804, Accuracy: 2.34%
[19,    10] loss: 3.428
[19,    20] loss: 3.592
[19,    30] loss: 3.595
[19,    40] loss: 3.608
[19,    50] loss: 3.749
[19,    60] loss: 3.719
[19,    70] loss: 3.890
[19,    80] loss: 3.817
[19,    90] loss: 3.943
[19,   100] loss: 3.808
[19] Validation loss: 8.209, Accuracy: 2.23%
